,FacilityName,Latitude,Longitude,LocationAddress,City,State,ZIP,County,FIPScode,PrimaryNAICS,SecondPrimaryNAICS,IndustryType,TRI_Air_Emissions_10_in_lbs,TRI_Air_Emissions_11_in_lbs,TRI_Air_Emissions_12_in_lbs,TRI_Air_Emissions_13_in_lbs,GHG_Direct_Emissions_10_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_14_in_metric_tons
0,VISCOFAN USA INC,40.141389,-87.581111,915 N MICHIGAN AVE,DANVILLE,IL,61832,VERMILION,17183.0,326121,,Other,31566.7096438686,26644.98610661433,23410.37990271821,31809.85756384244,64816.95890080591,36588.744605836015,37907.93672074378,45598.12585075331,52973.139946286006
1,"CORNWELL STATION - DOMINION TRANSMISSION, INC",38.475305,-81.278957,200 RIVER HAVEN ROAD,CLENDENIN,WV,25045-9304,KANAWHA,54039.0,486210,,Petroleum and Natural Gas Systems,,,,,55507.54366637201,72387.33411536289,58225.19608885822,76376.54731796081,55910.06661677475
2,WEST UNION COMPRESSOR STATION,39.29982,-80.85717,3041 LONG RUN RD.,GREENWOOD,WV,26415,RITCHIE,54085.0,211112,,Petroleum and Natural Gas Systems,,,,,,,,,55679.54321391186
3,"DOUBLE ""C"" LIMITED",35.490363,-119.042957,10245 OILFIELD ROAD,BAKERSFIELD,CA,93308,KERN,6029.0,221112,,Power Plants,,,,,54811.22270835524,69339.92300166251,63647.340038035225,53799.01122498901,61411.90278223241
4,LAKESHORE PLANT,41.532802,-81.636448,6800 S MARGINAL RD,CLEVELAND,OH,441031047,CUYAHOGA,39035.0,221112,,Power Plants,29553.796626502724,28337.832145078708,30840.82545432234,25153.90190480726,81812.30636241197,53823.56158651769,77391.15776777832,17662.96624107889,43100.46977405061
5,CARDINAL ARKOMA MIDSTREAM LLC/ATOKA GAS PLANT,34.39,-96.2328,205 NORTH HICKORY HILL ROAD,ATOKA,OK,74525-4427,ATOKA,40005.0,211112,,Petroleum and Natural Gas Systems,,,,,104771.42906019057,82533.28148115061,48345.591149846456,57390.37741937184,53712.04333562727
6,LA JARA COMPRESSOR STATION,36.817222,-107.491944,25 MI NE OF BLOOMFIELD,BLOOMFIELD,NM,87413,SAN JUAN,35045.0,213112,,Petroleum and Natural Gas Systems,,,,,51021.40839931395,47164.39543390034,51991.81958785961,60663.00531433815,79702.04242560185
7,MW CUSTOM PAPER LLC- HOLSTON LANDFILL,36.507018,-82.39289,1631 HIGHWAY 75,BLOUNTVILLE,TN,37617,SULLIVAN,47163.0,322121,,Waste,,,,,,1104853.3350459773,1775777.2052865955,695123.1300190698,1221686.7245796835
8,FEDERAL #2 PREPARATION PLANT,39.668919,-80.264397,1044 MIRACLE RUN ROAD,FAIRVIEW,WV,26570-6000,MARION,54049.0,212112,,Other,,,,,,101334.35766952184,90307.76836207956,46469.31465562291,80174.92570905304
9,"W&T ENERGY VI, LLC - MC 243 A (MATTERHORN)",,,"28.7422692, 88.82563305",OFFSHORE,LA,0,,,211111,,Petroleum and Natural Gas Systems,,,,,,,58457.34418323692,58294.61614407077,55857.39626685803
10,AREA 61 CGP FACILITY,28.62348,-97.99428,5911 COUNTY ROAD 136,PAWNEE,TX,78145,,,213112,,Petroleum and Natural Gas Systems,,,,,,,255403.94591543963,266172.72651891847,184667.96369646097
11,ROLLS-ROYCE CORP-PLANTS 5 & 8,39.7359,-86.2118,2355 & 2001 S TIBBS AVE,INDIANAPOLIS,IN,46241,MARION,18097.0,336412,,Other,36965.50392444462,33153.92890115152,22904.638081078432,21440.717378747893,54590.95341112065,29903.05112552292,58147.90697876492,4535.610314845013,45057.41835900622
12,DUKE ENERGY CAROLINAS LLC - LINCOLN CT STATION,35.4317,-81.0347,6769 OLD PLANK RD,STANLEY,NC,28164,LINCOLN,37109.0,221112,,Power Plants,33945.52913305382,21060.31486611548,26943.36175161611,31208.022956497545,763472.6728813329,494444.6263293074,871762.5950465243,821408.7426586803,611607.6858980316
13,BIOGEN INC,42.36779,-71.07418,14 CAMBRIDGE CENTER,CAMBRIDGE,MA,2142,MIDDLESEX,25017.0,325412,325414.0,Chemicals,34967.04311811842,30403.214831436617,29096.567300367675,24510.45902306841,37988.66146994101,37821.894395068935,30905.51290615889,40426.68980353077,43649.298625271855
14,TRANSCO STATION 54,30.671703,-92.125385,3149 LOUISIANA HWY 10,WASHINGTON,LA,70589,SAINT LANDRY,22097.0,486210,,Petroleum and Natural Gas Systems,,,,,57705.08190877376,35212.08118945161,55183.47711346633,10377.349661869055,43380.621523570895
15,AVA LANDFILL,43.461,-75.412,7044 ST RTE 294,AVA,NY,13303,ONEIDA,36065.0,562212,,Waste,,,,,20469.86611721725,39059.76473818055,3048.8139035559216,7424.644684990846,16979.928722070388
16,NORTHEAST SANITARY LANDFILL,34.013591,-80.683432,1581 WESTVACO RD,EASTOVER,SC,29044,RICHLAND,45079.0,562212,,Waste,,,,,67048.90197563735,47173.369002962216,88707.47295666617,64931.51342271557,40066.22292878306
17,MEXICHEM SPECIALTY RESINS INC,41.135266,-89.341088,1546 COUNTY RD 1450N,HENRY,IL,61537,MARSHALL,17123.0,325211,,Other,30580.36609794619,35666.438236730806,34497.39481710215,32573.76793959039,301612.2143094023,170547.6602172567,772667.6634848701,239765.62253006204,1090341.464336103
18,ARMSTRONG WORLD INDUSTRIES INC,45.844165,-122.817421,1645 RAILROAD AVE,SAINT HELENS,OR,970513100,COLUMBIA,41009.0,339999,,Other,20845.577458666183,14816.760636792009,17237.06215587572,17862.296925361297,44884.87759066977,13970.125855500468,33218.41642024946,21599.791708875426,43544.53223391042
19,GLASCO COMPRESSOR STATION 105,39.36669,-97.79943,687 DEER RD,GLASCO,KS,67445,CLOUD,20029.0,486210,,Petroleum and Natural Gas Systems,,,,,98033.61946742111,49591.25879480007,58399.36495553733,55458.78726873855,9897.429021323367
20,WEBER COUNTY LANDFILL,41.220778,-111.988275,2599 A AVE,OGDEN,UT,844012255,WEBER,49057.0,562212,,Waste,,,,,767567.1108098789,195375.4999281871,6837259.914905366,317298.1687699661,1961659.341553152
21,UNITED REFUSE LDFL,41.037617,-85.208453,5000 SMITH RD,FORT WAYNE,IN,46804,ALLEN,18003.0,562212,,Waste,,,,,46520.12716901837,39261.52782729989,49223.03833996427,28222.69942918637,102645.44211183654
